"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"264","independent",11,"3",119,128,0.356464063509057,96,128,1,0,8000
"265","independent",11,"4",118,126,0.320042984448049,110,127,1,-1,7250
"266","independent",11,"5",117,127,0.346408145907975,102,127,1,1,6500
"267","independent",11,"6",115,128,0.338521583036686,109,126,0,3,5750
"268","independent",11,"7",114,122,0.307522739146389,88,125,0,-2,5000
"269","independent",11,"8",113,122,0.356424464556525,93,123,0,-1,4250
"270","independent",11,"9",112,124,0.272297820191078,93,123,0,2,3500
"271","independent",11,"10",112,120,0.358973414438828,106,122,1,-1,2750
"272","independent",11,"11",109,117,0.309285008359172,99,118,-1,-3,2000
"273","independent",11,"12",109,120,0.390119202074417,101,119,0,1,1250
"274","independent",11,"13",108,116,0.274819371719479,104,117,0,-2,500
"275","hierarchical",11,"1",120,130,0.337658600388308,104,129,0,2,9500
"276","hierarchical",11,"2",119,129,0.335589947221232,106,129,0,2,8750
"277","hierarchical",11,"3",118,128,0.331239467566981,96,128,0,2,8000
"278","hierarchical",11,"4",117,127,0.326092950338183,110,127,0,2,7250
"279","hierarchical",11,"5",116,126,0.321517255702885,102,127,0,2,6500
"280","hierarchical",11,"6",115,125,0.31872077149681,109,126,0,2,5750
"281","hierarchical",11,"7",114,124,0.318576904917469,88,125,0,2,5000
"282","hierarchical",11,"8",113,122,0.322055888288607,93,123,0,1,4250
"283","hierarchical",11,"9",112,121,0.328344878646809,93,123,0,1,3500
"284","hierarchical",11,"10",111,120,0.335761435125773,106,122,0,1,2750
"285","hierarchical",11,"11",111,119,0.342589289800899,99,118,1,1,2000
"286","hierarchical",11,"12",110,119,0.3477394580733,101,119,1,2,1250
"287","hierarchical",11,"13",109,118,0.349820258847912,104,117,1,2,500
"288","independent",12,"1",120,129,0.298038003223035,109,130,0,-1,9500
"289","independent",12,"2",119,127,0.333263337262657,108,128,0,-2,8750
"290","independent",12,"3",117,125,0.328125540556822,110,127,-1,-3,8000
"291","independent",12,"4",117,129,0.308827096897499,109,128,0,2,7250
"292","independent",12,"5",117,126,0.342047870278659,96,126,1,0,6500
"293","independent",12,"6",114,122,0.331948504736303,101,125,-1,-3,5750
"294","independent",12,"7",113,127,0.308209403518364,102,125,-1,3,5000
"295","independent",12,"8",112,125,0.294768137043932,106,125,-1,2,4250
"296","independent",12,"9",113,121,0.337545839707786,102,122,1,-1,3500
"297","independent",12,"10",112,119,0.333234133762298,108,122,1,-2,2750
"298","independent",12,"11",109,116,0.332541277864588,92,121.5,-1,-4,2000
"299","independent",12,"12",110,121,0.362110855685279,102,121,1,2,1250
"300","independent",12,"13",106,112,0.288617965471918,106,117,-2,-6,500
"301","hierarchical",12,"1",119,130,0.314946988078466,109,130,-1,2,9500
"302","hierarchical",12,"2",118,129,0.317186265683128,108,128,-1,2,8750
"303","hierarchical",12,"3",118,128,0.318033056299167,110,127,0,2,8000
"304","hierarchical",12,"4",117,127,0.318212240667549,109,128,0,2,7250
"305","hierarchical",12,"5",116,126,0.318442000165887,96,126,0,2,6500
"306","hierarchical",12,"6",115,125,0.319377263232088,101,125,0,2,5750
"307","hierarchical",12,"7",114,123,0.322041725909381,102,125,0,1,5000
"308","hierarchical",12,"8",113,122,0.326286112852426,106,125,0,1,4250
"309","hierarchical",12,"9",112,121,0.332127703230759,102,122,0,1,3500
"310","hierarchical",12,"10",111,120,0.339295252977723,108,122,0,1,2750
"311","hierarchical",12,"11",111,119,0.347215502910323,92,121.5,1,1,2000
"312","hierarchical",12,"12",110,119,0.35569143709107,102,121,1,2,1250
"313","hierarchical",12,"13",109,118,0.36400089325163,106,117,1,2,500
"314","independent",13,"1",120,129,0.331501487049581,103,130,0,-1,9500
"315","independent",13,"2",120,129,0.365002831254897,109,129,1,0,8750
"316","independent",13,"3",119,127,0.328205237905818,101,128,1,-1,8000
"317","independent",13,"4",118,128,0.324563397908626,102,128,1,1,7250
"318","independent",13,"5",116,124,0.308516643161421,98,126,0,-2,6500
"319","independent",13,"6",115,125,0.294491739457435,101,126,0,0,5750
"320","independent",13,"7",114,124,0.323104021549925,101,125,0,0,5000
"321","independent",13,"8",113,122,0.302437438412797,102,124,0,-1,4250
"322","independent",13,"9",112,121,0.369330974326379,102,122,0,-1,3500
"323","independent",13,"10",112,122,0.394479287181719,102,123,1,1,2750
"324","independent",13,"11",108,119,0.3082299021455,98,120,-2,-1,2000
"325","independent",13,"12",109,117,0.410341686630302,102,121,0,-2,1250
"326","independent",13,"13",107,115,0.26772609469136,100,118,-1,-3,500
"327","hierarchical",13,"1",120,130,0.337431346936718,103,130,0,2,9500
"328","hierarchical",13,"2",119,129,0.332598758852209,109,129,0,2,8750
