"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"239","independent",10,"4",130,138,0.107482585625968,125,142,-1,-1,7250
"240","independent",10,"5",129,138,0.130270244307536,119,140.5,-1,0,6500
"241","independent",10,"6",127,134,0.131753967673975,122,138,-2,-3,5750
"242","independent",10,"7",127,136,0.11146171858812,121,138,-1,0,5000
"243","independent",10,"8",127,134,0.122166298012073,125,141,0,-1,4250
"244","independent",10,"9",126,133,0.104188145863258,123,139,0,-1,3500
"245","independent",10,"10",124,134,0.104225532710621,122,140,-1,1,2750
"246","independent",10,"11",125,134,0.107694356364282,121,136,1,2,2000
"247","independent",10,"12",124,133,0.128879719359526,117,133.5,1,2,1250
"248","independent",10,"13",116,129,0.109158035842258,118,131.5,-6,-1,500
"249","hierarchical",10,"1",132,140,0.112016889075677,125,146,-2,-2,9500
"250","hierarchical",10,"2",132,139,0.118128733029092,122,144,-1,-2,8750
"251","hierarchical",10,"3",131,139,0.121910674767992,124,141,-1,-1,8000
"252","hierarchical",10,"4",130,138,0.123799688245683,125,142,-1,-1,7250
"253","hierarchical",10,"5",129,137,0.123567378962487,119,140.5,-1,-1,6500
"254","hierarchical",10,"6",129,136,0.122097472095536,122,138,0,-1,5750
"255","hierarchical",10,"7",128,136,0.120469381103643,121,138,0,0,5000
"256","hierarchical",10,"8",127,135,0.11954796285817,125,141,0,0,4250
"257","hierarchical",10,"9",126,134,0.119716091876506,123,139,0,0,3500
"258","hierarchical",10,"10",125,133,0.121213401634376,122,140,0,0,2750
"259","hierarchical",10,"11",124,132,0.123826553755126,121,136,0,0,2000
"260","hierarchical",10,"12",123,131,0.126931256750637,117,133.5,0,0,1250
"261","hierarchical",10,"13",123,131,0.130335657176697,118,131.5,1,1,500
"262","independent",11,"1",134,141,0.127764636973469,126,144,0,-1,9500
"263","independent",11,"2",133,141,0.123128234118279,128,145,0,0,8750
"264","independent",11,"3",132,140,0.138306189909761,126,142,0,0,8000
"265","independent",11,"4",131,141,0.0937101004669233,122,145,0,2,7250
