"","model","sim","mean_diff_hm","mean_diff_max","trend_hm","trend_max"
"139","hierarchical",69,0.307692307692308,2.23076923076923,-0.901098901098902,-0.994505494505495
"140","independent",70,0.307692307692308,-1.15384615384615,-0.912087912087913,-1.24725274725275
"141","hierarchical",70,0.384615384615385,1.46153846153846,-0.890109890109889,-1.03846153846154
"142","independent",71,0.615384615384615,0.153846153846154,-0.884615384615383,-0.950549450549454
"143","hierarchical",71,0.538461538461538,2.15384615384615,-0.829670329670333,-1.04945054945055
"144","independent",72,0.384615384615385,-0.0769230769230769,-0.978021978021982,-0.868131868131866
"145","hierarchical",72,0.384615384615385,1.84615384615385,-0.868131868131867,-1.01648351648352
"146","independent",73,-0.307692307692308,-1.76923076923077,-1.15934065934066,-1.2967032967033
"147","hierarchical",73,0.0769230769230766,1.23076923076923,-0.967032967032968,-1.05494505494506
"148","independent",74,0.384615384615385,-0.769230769230769,-1.04945054945055,-1.37912087912088
"149","hierarchical",74,0.692307692307692,2,-0.923076923076922,-1
"150","independent",75,0.153846153846154,-0.769230769230769,-1.13736263736264,-1.07142857142857
"151","hierarchical",75,0.384615384615385,2.23076923076923,-1.05494505494505,-0.956043956043956
"152","independent",76,1.23076923076923,0.846153846153846,-0.796703296703297,-0.747252747252746
"153","hierarchical",76,1.15384615384615,2.69230769230769,-0.785714285714287,-0.923076923076924
"154","independent",77,0.307692307692308,-0.230769230769231,-0.967032967032968,-1.08791208791209
"155","hierarchical",77,0.76923076923077,2.07692307692308,-0.868131868131869,-0.939560439560442
"156","independent",78,-0.0769230769230769,-0.307692307692308,-0.994505494505494,-1.09340659340659
"157","hierarchical",78,0.153846153846153,1.76923076923077,-0.939560439560441,-1.14835164835165
"158","independent",79,-0.307692307692308,-0.923076923076923,-1.12637362637363,-1.37912087912088
"159","hierarchical",79,0.0769230769230766,1.61538461538461,-0.967032967032968,-1.08241758241758
"160","independent",80,0,-0.230769230769231,-0.939560439560438,-1.03296703296704
"161","hierarchical",80,0.307692307692308,1.53846153846154,-0.835164835164836,-1.04945054945055
"162","independent",81,0.923076923076923,0.692307692307692,-0.752747252747254,-0.912087912087915
"163","hierarchical",81,0.923076923076923,2.15384615384615,-0.906593406593408,-0.939560439560443
"164","independent",82,-0.384615384615385,-0.307692307692308,-1.13736263736264,-1.12637362637362
"165","hierarchical",82,-0.307692307692308,1.38461538461539,-1.07692307692308,-1.16483516483516
"166","independent",83,0.692307692307692,0.153846153846154,-0.961538461538461,-1.21428571428572
"167","hierarchical",83,0.615384615384615,2.46153846153846,-0.96153846153846,-1.02197802197803
"168","independent",84,-0.0769230769230769,-0.153846153846154,-0.967032967032968,-0.813186813186812
"169","hierarchical",84,-0.0769230769230766,1.07692307692308,-0.967032967032967,-0.967032967032969
"170","independent",85,0.461538461538462,0.230769230769231,-0.824175824175827,-0.928571428571429
"171","hierarchical",85,0.307692307692308,1.61538461538461,-0.901098901098902,-1.05494505494506
"172","independent",86,-0.0769230769230769,-0.846153846153846,-1.02747252747253,-1.17582417582418
"173","hierarchical",86,0,1.69230769230769,-1,-1.05494505494506
"174","independent",87,-0.153846153846154,-0.307692307692308,-0.829670329670329,-0.686813186813188
"175","hierarchical",87,0.0769230769230766,1.30769230769231,-0.857142857142854,-0.901098901098902
"176","independent",88,0.846153846153846,0.384615384615385,-0.983516483516484,-0.97802197802198
"177","hierarchical",88,0.538461538461538,2.61538461538461,-0.851648351648355,-1.02197802197803
"178","independent",89,0.153846153846154,0.0769230769230769,-0.912087912087914,-0.857142857142856
"179","hierarchical",89,0.23076923076923,2,-0.917582417582418,-1
"180","independent",90,0.384615384615385,-0.846153846153846,-0.868131868131867,-1.03846153846154
"181","hierarchical",90,0.23076923076923,1.61538461538461,-0.917582417582418,-1.05494505494506
"182","independent",91,0.307692307692308,0,-0.912087912087913,-1.09340659340659
"183","hierarchical",91,0.615384615384615,1.84615384615385,-0.851648351648356,-0.967032967032969
"184","independent",92,0.769230769230769,-0.538461538461538,-0.961538461538463,-0.868131868131869
"185","hierarchical",92,0.76923076923077,1.92307692307692,-0.829670329670331,-0.906593406593409
"186","independent",93,0.384615384615385,-0.461538461538462,-0.945054945054943,-0.994505494505491
"187","hierarchical",93,0.23076923076923,1.61538461538461,-0.945054945054945,-1.02747252747253
"188","independent",94,0.230769230769231,0.0769230769230769,-0.945054945054947,-0.736263736263739
"189","hierarchical",94,-2.84615384615385,-1.46153846153846,-1.13736263736264,-1.06043956043956
"190","independent",95,0.461538461538462,-0.384615384615385,-0.906593406593405,-0.917582417582414
"191","hierarchical",95,0.76923076923077,2.15384615384615,-0.917582417582418,-0.884615384615388
"192","independent",96,0.307692307692308,-0.153846153846154,-0.92857142857143,-0.91758241758242
"193","hierarchical",96,0.538461538461538,1.69230769230769,-0.851648351648355,-0.96703296703297
"194","independent",97,0.384615384615385,0.615384615384615,-0.934065934065933,-0.747252747252751
"195","hierarchical",97,0.692307692307692,2.15384615384615,-0.9010989010989,-0.840659340659344
"196","independent",98,-0.230769230769231,-1,-1,-1.0054945054945
"197","hierarchical",98,0.307692307692308,1.46153846153846,-0.76923076923077,-0.945054945054949
"198","independent",99,0.153846153846154,-0.461538461538462,-0.972527472527474,-1.01648351648352
"199","hierarchical",99,0.153846153846153,1.46153846153846,-0.939560439560441,-1.04945054945055
"200","independent",100,0.153846153846154,0.461538461538462,-0.923076923076919,-0.708791208791209
"201","hierarchical",100,0.692307692307692,1.92307692307692,-0.9010989010989,-0.906593406593409
